District,Suburbs,Max Results
Reinickendorf,"[('Wittenau', 193), ('Heiligensee', 137)]",10
Neukölln,"[('Buckow', 125), ('Neukölln', 165), ('Britz', 122)]",487
Neukölln,"[('Rudow', 175)]",11
Neukölln,"[('Gropiusstadt', 85081)]",19
Charlottenburg-Wilmersdorf,"[('Grunewald', 136), ('Charlottenburg', 126)]",149
Charlottenburg-Wilmersdorf,"[('Halensee', 85083), ('Wilmersdorf', 192), ('Charlottenburg-Wilmersdorf', 85077), ('Schmöckwitz', 177)]",128
Steglitz-Zehlendorf,"[('Lichterfelde', 155), ('Schmargendorf', 176)]",33
Steglitz-Zehlendorf,"[('Nikolassee', 168), ('Lankwitz', 152)]",25
Steglitz-Zehlendorf,"[('Zehlendorf', 194), ('Dahlem', 127), ('Wannsee', 187), ('Steglitz-Zehlendorf', 85093)]",50
Tempelhof-Schöneberg,"[('Mariendorf', 160), ('Tempelhof', 183), ('Lichtenrade', 154)]",69
Tempelhof-Schöneberg,"[('Tempelhof-Schöneberg', 85094), ('Siemensstadt', 179)]",40
Tempelhof-Schöneberg,"[('Friedenau', 129)]",0
Tempelhof-Schöneberg,"[('Friedenau', 129)]",0
Tempelhof-Schöneberg,"[('Friedenau', 129)]",0
Tempelhof-Schöneberg,"[('Friedenau', 129)]",0
Tempelhof-Schöneberg,"[('Friedenau', 129)]",0
Tempelhof-Schöneberg,"[('Friedenau', 129)]",0
Tempelhof-Schöneberg,"[('Friedenau', 129)]",0
Tempelhof-Schöneberg,"[('Friedenau', 129)]",46
Friedrichshain-Kreuzberg,"[('Kreuzberg', 151), ('Friedrichshain-Kreuzberg', 85079)]",389
Friedrichshain-Kreuzberg,"[('Friedrichshain', 132)]",343
Treptow-Köpenick,"[('Hessenwinkel', 141), ('Johannisthal', 143)]",8
Treptow-Köpenick,"[('Friedrichshagen', 131), ('Karolinenhof', 145)]",13
Treptow-Köpenick,"[('Grünau', 135), ('Niederschöneweide', 166)]",22
Treptow-Köpenick,"[('Oberschöneweide', 169), ('Bohnsdorf', 120), ('Treptow', 185)]",69
Treptow-Köpenick,"[('Adlershof', 114), ('Schöneberg', 178), ('Müggelheim', 164)]",194
Treptow-Köpenick,"[('Rahnsdorf', 172)]",10
Treptow-Köpenick,"[('Plänterwald', 85089), ('Altglienicke', 115)]",20
Treptow-Köpenick,"[('Wilhelmshagen', 191), ('Baumschulenweg', 116)]",15
Treptow-Köpenick,"[('Köpenick', 150)]",40
Lichtenberg,"[('Neu-Hohenschönhausen', 85087), ('Malchow', 158), ('Falkenberg', 128)]",10
Lichtenberg,"[('Lichtenberg', 153)]",116
Lichtenberg,"[('Alt-Hohenschönhausen', 85076), ('Friedrichsfelde', 130), ('Hohenschönhausen', 142), ('Karlshorst', 144)]",50
Lichtenberg,"[('Rummelsburg', 85090)]",15
Lichtenberg,"[('Wartenberg', 188)]",7
Marzahn-Hellersdorf,"[('Biesdorf', 117)]",14
Marzahn-Hellersdorf,"[('Marzahn-Hellersdorf', 85085), ('Marzahn', 162), ('Kaulsdorf', 147)]",27
Marzahn-Hellersdorf,"[('Mahlsdorf', 157), ('Hellersdorf', 139)]",19
Pankow,"[('Pankow', 170)]",91
Pankow,"[('Französisch Buchholz', 85078), ('Karow', 146), ('Rosenthal', 174), ('Blankenfelde', 119)]",10
Pankow,"[('Buchholz', 124)]",8
Pankow,"[('Steglitz', 181), ('Wilhelmsruh', 85095), ('Blankenburg', 118), ('Buch', 123)]",68
Pankow,"[('Weißensee', 190), ('Niederschönhausen', 167)]",41
Pankow,"[('Heinersdorf', 138), ('Prenzlauer Berg', 171)]",300
Reinickendorf,"[('Konradshöhe', 149), ('Lübars', 156), ('Borsigwalde', 121), ('Heiligensee', 137)]",11
