title,room_size,total_rent,address,street,postcode,suburb,city,available_from,available_until,online_since,rent,utilities,other_costs,deposit,transfer_agreement_cost,apartment_size,max_roommate,roommate_age,languages,wg_detail1,wg_detail2,wg_detail3,wg_detail4,wg_detail5,wg_detail6,object_detail1,object_detail2,object_detail3,object_detail4,object_detail5,object_detail6,object_detail7,object_detail8,object_detail9,object_detail10,object_detail11,object_detail12,object_detail13,required_document1,required_document2,required_document3
"WG-Villa für Mitarbeiter, Praktikanten und Studenten in Berlin",12m²,750€,Distelfinkweg 3512357 Berlin Britz,Distelfinkweg,351235,Berlin Britz,7,07.12.2023,,4 Stunden,750€,0€,0€,1500€,0€,300m²,6,18 bis 26 Jahre,"Deutsch, Englisch, Italienisch",12m² Zimmer in 6er WG,6er WG,Rauchen nicht erwünscht,"Studenten-WG, Berufstätigen-WG, gemischte WG",Geschlecht egal zwischen 18 und 26 Jahren,,"Ab dem 1. Mai 2014 ist die neue Energieeinsparverordnung (EnEV 2014) rechtswirksam. Immobilieninserate müssen seitdem zusätzliche Angaben zu energetischen Eigenschaften enthalten. Liegt noch kein Energieausweis vor, entfällt die Pflicht. Für denkmalgeschützte Häuser und Gebäude mit weniger als 50 Quadratmetern Nutzfläche ist kein Energieausweis nötig.Bedarfsausweis, Gas, Baujahr 2019",Mehrfamilienhaus,2. OG,möbliert,"DSL, WLAN","Kabel, Satellit",Fußbodenheizung,eigener Parkplatz,5 Minuten zu Fuß entfernt,"Waschmaschine, Spülmaschine, Terrasse, Balkon, Garten, Gartenmitbenutzung, Keller, Fahrradkeller",,,,SCHUFA,,
"WG-Villa für Mitarbeiter, Praktikanten und Studenten in Berlin",12m²,750€,Distelfinkweg 3512357 Berlin Britz,Distelfinkweg,351235,Berlin Britz,7,07.12.2023,,4 Stunden,750€,0€,0€,1500€,0€,300m²,6,18 bis 26 Jahre,"Deutsch, Englisch, Italienisch",12m² Zimmer in 6er WG,6er WG,Rauchen nicht erwünscht,"Studenten-WG, Berufstätigen-WG, gemischte WG",Geschlecht egal zwischen 18 und 26 Jahren,,"Ab dem 1. Mai 2014 ist die neue Energieeinsparverordnung (EnEV 2014) rechtswirksam. Immobilieninserate müssen seitdem zusätzliche Angaben zu energetischen Eigenschaften enthalten. Liegt noch kein Energieausweis vor, entfällt die Pflicht. Für denkmalgeschützte Häuser und Gebäude mit weniger als 50 Quadratmetern Nutzfläche ist kein Energieausweis nötig.Bedarfsausweis, Gas, Baujahr 2019",Mehrfamilienhaus,2. OG,möbliert,"DSL, WLAN","Kabel, Satellit",Fußbodenheizung,eigener Parkplatz,5 Minuten zu Fuß entfernt,"Waschmaschine, Spülmaschine, Terrasse, Balkon, Garten, Gartenmitbenutzung, Keller, Fahrradkeller",,,,SCHUFA,,
"WG-Villa für Mitarbeiter, Praktikanten und Studenten in Berlin",12m²,750€,Distelfinkweg 3512357 Berlin Britz,Distelfinkweg,351235,Berlin Britz,7,07.12.2023,,4 Stunden,750€,0€,0€,1500€,0€,300m²,6,18 bis 26 Jahre,"Deutsch, Englisch, Italienisch",12m² Zimmer in 6er WG,6er WG,Rauchen nicht erwünscht,"Studenten-WG, Berufstätigen-WG, gemischte WG",Geschlecht egal zwischen 18 und 26 Jahren,,"Ab dem 1. Mai 2014 ist die neue Energieeinsparverordnung (EnEV 2014) rechtswirksam. Immobilieninserate müssen seitdem zusätzliche Angaben zu energetischen Eigenschaften enthalten. Liegt noch kein Energieausweis vor, entfällt die Pflicht. Für denkmalgeschützte Häuser und Gebäude mit weniger als 50 Quadratmetern Nutzfläche ist kein Energieausweis nötig.Bedarfsausweis, Gas, Baujahr 2019",Mehrfamilienhaus,2. OG,möbliert,"DSL, WLAN","Kabel, Satellit",Fußbodenheizung,eigener Parkplatz,5 Minuten zu Fuß entfernt,"Waschmaschine, Spülmaschine, Terrasse, Balkon, Garten, Gartenmitbenutzung, Keller, Fahrradkeller",,,,SCHUFA,,
"WG-Villa für Mitarbeiter, Praktikanten und Studenten in Berlin",12m²,750€,Distelfinkweg 3512357 Berlin Britz,Distelfinkweg,351235,Berlin Britz,7,07.12.2023,,4 Stunden,750€,0€,0€,1500€,0€,300m²,6,18 bis 26 Jahre,"Deutsch, Englisch, Italienisch",12m² Zimmer in 6er WG,6er WG,Rauchen nicht erwünscht,"Studenten-WG, Berufstätigen-WG, gemischte WG",Geschlecht egal zwischen 18 und 26 Jahren,,"Ab dem 1. Mai 2014 ist die neue Energieeinsparverordnung (EnEV 2014) rechtswirksam. Immobilieninserate müssen seitdem zusätzliche Angaben zu energetischen Eigenschaften enthalten. Liegt noch kein Energieausweis vor, entfällt die Pflicht. Für denkmalgeschützte Häuser und Gebäude mit weniger als 50 Quadratmetern Nutzfläche ist kein Energieausweis nötig.Bedarfsausweis, Gas, Baujahr 2019",Mehrfamilienhaus,2. OG,möbliert,"DSL, WLAN","Kabel, Satellit",Fußbodenheizung,eigener Parkplatz,5 Minuten zu Fuß entfernt,"Waschmaschine, Spülmaschine, Terrasse, Balkon, Garten, Gartenmitbenutzung, Keller, Fahrradkeller",,,,SCHUFA,,
