Bezirk,Mittelwert (Median) EUR/m2,Spanne der überwiegenden Angebote (80% der Angebote) von,Spanne der überwiegenden Angebote (80% der Angebote) bis
Mitte,13.45,8.05,19.95
Friedrichshain-Kreuzberg,13.01,7.7,18.57
Pankow,10.96,7.03,16.73
Charlottenburg-Wilmersdorf,12.63,8.51,18.13
Spandau,8.86,6.73,11.33
Steglitz-Zehlendorf,10.7,7.92,14.9
Tempelhof-Schöneberg,10.52,7.22,15.56
Neukölln,10.1,6.92,15.99
Treptow-Köpenick,9.93,7.1,13.5
Marzahn-Hellersdorf,7.9,6.02,10.98
Lichtenberg,9.27,6.23,13.21
Reinickendorf,9.42,6.76,13.0
Berlin insgesamt,10.45,6.96,16.49
