Bezirk,Mittelwert (Median) EUR/m2,Spanne der überwiegenden Angebote (80% der Angebote) von,Spanne der überwiegenden Angebote (80% der Angebote) bis
Mitte,13.7,6.94,20.56
Friedrichshain-Kreuzberg,13.11,7.18,19.98
Pankow,10.5,6.08,17.27
Charlottenburg-Wilmersdorf,12.38,7.19,18.99
Spandau,8.53,6.0,12.09
Steglitz-Zehlendorf,10.31,7.27,15.0
Tempelhof-Schöneberg,9.97,6.52,17.0
Neukölln,9.38,6.32,16.04
Treptow-Köpenick,10.19,6.45,14.91
Marzahn-Hellersdorf,8.02,6.0,11.71
Lichtenberg,9.08,6.0,14.0
Reinickendorf,8.84,5.96,13.04
Berlin insgesamt,10.14,6.24,17.5
