Bezirk,Mittelwert (Median) EUR/m2,Spanne der überwiegenden Angebote (80% der Angebote) von,Spanne der überwiegenden Angebote (80% der Angebote) bis
Mitte,10.51,6.74,16.39
Friedrichshain-Kreuzberg,11.5,7.75,15.0
Pankow,9.99,7.08,13.85
Charlottenburg-Wilmersdorf,10.53,7.36,15.0
Spandau,7.35,5.7,9.22
Steglitz-Zehlendorf,9.38,7.1,12.33
Tempelhof-Schöneberg,9.0,6.61,12.69
Neukölln,9.0,6.35,13.0
Treptow-Köpenick,8.24,6.5,11.0
Marzahn-Hellersdorf,6.51,5.49,8.83
Lichtenberg,8.8,6.53,11.53
Reinickendorf,8.0,6.2,10.18
Berlin insgesamt,9.07,6.4,13.71
