Bezirk,Mittelwert (Median) EUR/m2,Spanne der überwiegenden Angebote (80% der Angebote) von,Spanne der überwiegenden Angebote (80% der Angebote) bis
Mitte,8.03,5.64,14.62
Friedrichshain-Kreuzberg,8.61,6.58,11.77
Pankow,8.0,6.0,12.0
Charlottenburg-Wilmersdorf,8.93,6.5,13.07
Spandau,5.93,4.67,7.61
Steglitz-Zehlendorf,7.99,6.07,10.98
Tempelhof-Schöneberg,7.49,5.71,10.37
Neukölln,6.7,5.35,9.06
Treptow-Köpenick,6.55,5.29,8.59
Marzahn-Hellersdorf,5.08,4.3,7.31
Lichtenberg,6.53,5.13,8.52
Reinickendorf,6.31,5.02,8.52
Berlin insgesamt,7.4,5.32,11.36
