Bezirk,Mittelwert (Median) EUR/m2,Spanne der überwiegenden Angebote (80% der Angebote) von,Spanne der überwiegenden Angebote (80% der Angebote) bis
Mitte,10.06,6.5,15.0
Friedrichshain-Kreuzberg,10.99,8.02,14.0
Pankow,9.45,7.02,12.9
Charlottenburg-Wilmersdorf,10.0,7.14,14.0
Spandau,6.99,5.67,8.68
Steglitz-Zehlendorf,8.87,6.91,11.5
Tempelhof-Schöneberg,8.5,6.4,11.5
Neukölln,8.57,6.29,12.05
Treptow-Köpenick,7.81,6.25,10.35
Marzahn-Hellersdorf,5.76,5.2,7.85
Lichtenberg,8.1,6.26,11.5
Reinickendorf,7.5,6.0,9.72
Berlin insgesamt,8.8,6.07,13.0
