Bezirk,Mittelwert (Median) EUR/m2,Spanne der überwiegenden Angebote (80% der Angebote) von,Spanne der überwiegenden Angebote (80% der Angebote) bis
Mitte,12.77,8.43,18.0
Friedrichshain-Kreuzberg,12.5,8.97,16.8
Pankow,10.86,7.47,15.0
Charlottenburg-Wilmersdorf,11.86,8.5,16.01
Spandau,7.95,6.0,10.06
Steglitz-Zehlendorf,10.0,7.55,13.35
Tempelhof-Schöneberg,9.97,7.02,13.8
Neukölln,10.0,6.77,14.05
Treptow-Köpenick,9.16,6.93,12.0
Marzahn-Hellersdorf,7.16,5.56,10.0
Lichtenberg,9.72,7.05,12.5
Reinickendorf,8.73,6.58,11.5
Berlin insgesamt,10.15,6.97,15.21
