Bezirk,Mittelwert (Median) EUR/m2,Spanne der überwiegenden Angebote (80% der Angebote) von,Spanne der überwiegenden Angebote (80% der Angebote) bis
Mitte,9.39,6.25,15.62
Friedrichshain-Kreuzberg,9.64,7.4,12.61
Pankow,8.56,6.34,12.5
Charlottenburg-Wilmersdorf,9.86,7.11,14.6
Spandau,6.48,5.01,8.13
Steglitz-Zehlendorf,8.5,6.53,11.41
Tempelhof-Schöneberg,8.0,6.12,11.1
Neukölln,7.33,5.83,10.0
Treptow-Köpenick,7.08,5.78,9.55
Marzahn-Hellersdorf,5.55,4.66,7.86
Lichtenberg,7.01,5.35,9.46
Reinickendorf,6.86,5.43,9.0
Berlin insgesamt,8.05,5.79,12.56
