Bezirk,Mittelwert (Median) EUR/m2,Spanne der überwiegenden Angebote (80% der Angebote) von,Spanne der überwiegenden Angebote (80% der Angebote) bis
Mitte,12.51,7.89,18.04
Friedrichshain-Kreuzberg,12.94,8.15,17.0
Pankow,10.97,7.45,15.45
Charlottenburg-Wilmersdorf,12.0,8.38,16.38
Spandau,8.59,6.46,11.0
Steglitz-Zehlendorf,10.44,8.0,13.89
Tempelhof-Schöneberg,10.3,7.33,14.57
Neukölln,10.0,7.0,14.62
Treptow-Köpenick,9.62,7.23,12.87
Marzahn-Hellersdorf,7.77,5.86,10.5
Lichtenberg,9.53,6.66,12.64
Reinickendorf,9.17,6.85,12.27
Berlin insgesamt,10.32,7.09,15.36
